['PA335 (08:27)', 'Inicio', 'Servicio 507', 'Proximo', 'Entre 07 Y 13 min.  Viene a 2756 mts.', 'Siguiente', 'Entre 11 Y 17 min.  Viene a 4136 mts.', 'Servicio 510', 'Proximo', 'Menos de 5 min. Viene a 540 mts.', 'Siguiente', 'Entre 07 Y 13 min.  Viene a 3580 mts.', 'Servicio 513', 'Proximo', 'Entre 04 Y 08 min.  Viene a 1371 mts.', 'Siguiente', 'Entre 05 Y 09 min.  Viene a 1551 mts.', 'Servicio 516', 'Proximo', 'Entre 10 Y 16 min.  Viene a 4480 mts.', 'Siguiente', 'Entre 11 Y 19 min.  Viene a 5590 mts.']
['PA335 (08:30)', 'Inicio', 'Servicio 507', 'Proximo', 'Entre 06 Y 10 min.  Viene a 2006 mts.', 'Siguiente', 'Entre 10 Y 16 min.  Viene a 3666 mts.', 'Servicio 510', 'Proximo', 'Entre 05 Y 09 min.  Viene a 2340 mts.', 'Siguiente', 'Entre 10 Y 16 min.  Viene a 4480 mts.', 'Servicio 513', 'Proximo', 'Menos de 5 min. Viene a 651 mts.', 'Siguiente', 'Menos de 5 min. Viene a 701 mts.', 'Servicio 516', 'Proximo', 'Entre 06 Y 10 min.  Viene a 3170 mts.', 'Siguiente', 'Entre 10 Y 16 min.  Viene a 4490 mts.']
['PA335 (08:33)', 'Inicio', 'Servicio 507', 'Proximo', 'Entre 04 Y 08 min.  Viene a 1636 mts.', 'Siguiente', 'Entre 07 Y 13 min.  Viene a 2606 mts.', 'Servicio 510', 'Proximo', 'Menos de 5 min. Viene a 1590 mts.', 'Siguiente', 'Entre 07 Y 13 min.  Viene a 3380 mts.', 'Servicio 513', 'Proximo', 'Menos de 5 min. Viene a 231 mts.', 'Siguiente', 'Menos de 5 min. Viene a 481 mts.', 'Servicio 516', 'Proximo', 'Menos de 5 min. Viene a 1970 mts.', 'Siguiente', 'Entre 05 Y 09 min.  Viene a 2920 mts.']
['PA335 (08:36)', 'Inicio', 'Servicio 507', 'Proximo', 'Menos de 5 min. Viene a 676 mts.', 'Siguiente', 'Entre 06 Y 10 min.  Viene a 1996 mts.', 'Servicio 510', 'Proximo', 'Menos de 5 min. Viene a 580 mts.', 'Siguiente', 'Entre 06 Y 10 min.  Viene a 2670 mts.', 'Servicio 513', 'Proximo', 'Menos de 5 min. Viene a 661 mts.', 'Siguiente', 'Entre 13 Y 21 min.  Viene a 3781 mts.', 'Servicio 516', 'Proximo', 'Menos de 5 min. Viene a 1290 mts.', 'Siguiente', 'Menos de 5 min. Viene a 1910 mts.']
['PA335 (08:39)', 'Inicio', 'Servicio 507', 'Proximo', 'Menos de 5 min. Viene a 286 mts.', 'Siguiente', 'Menos de 5 min. Viene a 1086 mts.', 'Servicio 510', 'Proximo', 'Entre 04 Y 08 min.  Viene a 1910 mts.', 'Siguiente', 'Entre 05 Y 09 min.  Viene a 2300 mts.', 'Servicio 513', 'Proximo', 'Entre 09 Y 15 min.  Viene a 2501 mts.', 'Siguiente', 'Entre 23 Y 33 min.  Viene a 7401 mts.', 'Servicio 516', 'Proximo', 'Menos de 5 min. Viene a 540 mts.', 'Siguiente', 'Menos de 5 min. Viene a 1430 mts.']
['PA335 (08:41)', 'Inicio', 'Servicio 507', 'Proximo', 'Menos de 5 min. Viene a 476 mts.', 'Siguiente', 'Entre 04 Y 08 min.  Viene a 1626 mts.', 'Servicio 510', 'Proximo', 'Menos de 5 min. Viene a 1490 mts.', 'Siguiente', 'Entre 03 Y 07 min.  Viene a 1870 mts.', 'Servicio 513', 'Proximo', 'Entre 07 Y 11 min.  Viene a 1961 mts.', 'Siguiente', 'Entre 21 Y 31 min.  Viene a 6791 mts.', 'Servicio 516', 'Proximo', 'Menos de 5 min. Viene a 200 mts.', 'Siguiente', 'Menos de 5 min. Viene a 890 mts.']
['PA335 (08:48)', 'Inicio', 'Servicio 507', 'Proximo', 'Entre 04 Y 08 min.  Viene a 1646 mts.', 'Siguiente', 'Entre 07 Y 13 min.  Viene a 2496 mts.', 'Servicio 510', 'Proximo', 'Entre 13 Y 21 min.  Viene a 4980 mts.', 'Siguiente', 'Entre 15 Y 25 min.  Viene a 6150 mts.', 'Servicio 513', 'Proximo', 'Menos de 5 min. Viene a 141 mts.', 'Siguiente', 'Entre 15 Y 25 min.  Viene a 5321 mts.', 'Servicio 516', 'Proximo', 'Entre 03 Y 07 min.  Viene a 1780 mts.', 'Siguiente', 'Entre 04 Y 08 min.  Viene a 2330 mts.']
['PA335 (08:51)', 'Inicio', 'Servicio 507', 'Proximo', 'Menos de 5 min. Viene a 666 mts.', 'Siguiente', 'Entre 04 Y 08 min.  Viene a 1646 mts.', 'Servicio 510', 'Proximo', 'Entre 10 Y 16 min.  Viene a 4060 mts.', 'Siguiente', 'Entre 11 Y 19 min.  Viene a 4580 mts.', 'Servicio 513', 'Proximo', 'Entre 12 Y 20 min.  Viene a 3981 mts.', 'Siguiente', 'Mas de 25 min. Viene a 10781 mts.', 'Servicio 516', 'Proximo', 'Menos de 5 min. Viene a 580 mts.', 'Siguiente', 'Menos de 5 min. Viene a 1280 mts.']
['PA335 (08:54)', 'Inicio', 'Servicio 507', 'Proximo', 'Menos de 5 min. Viene a 386 mts.', 'Siguiente', 'Menos de 5 min. Viene a 686 mts.', 'Servicio 510', 'Proximo', 'Entre 08 Y 14 min.  Viene a 3120 mts.', 'Siguiente', 'Entre 11 Y 17 min.  Viene a 4040 mts.', 'Servicio 513', 'Proximo', 'Entre 08 Y 14 min.  Viene a 2541 mts.', 'Siguiente', 'Mas de 25 min. Viene a 9701 mts.', 'Servicio 516', 'Proximo', 'Menos de 5 min. Viene a 300 mts.', 'Siguiente', 'Entre 06 Y 10 min.  Viene a 3120 mts.']
['PA335 (08:57)', 'Inicio', 'Servicio 507', 'Proximo', 'Menos de 5 min. Viene a 76 mts.', 'Siguiente', 'Entre 04 Y 08 min.  Viene a 1676 mts.', 'Servicio 510', 'Proximo', 'Entre 06 Y 10 min.  Viene a 2010 mts.', 'Siguiente', 'Entre 07 Y 13 min.  Viene a 2820 mts.', 'Servicio 513', 'Proximo', 'Entre 06 Y 10 min.  Viene a 1901 mts.', 'Siguiente', 'Mas de 25 min. Viene a 8461 mts.', 'Servicio 516', 'Proximo', 'Menos de 5 min. Viene a 1730 mts.', 'Siguiente', 'Entre 11 Y 17 min.  Viene a 5150 mts.']
