['PA384 (08:35)', 'Inicio', 'Servicio 412', 'No hay buses que se dirijan al paradero.', 'Servicio 418', 'Proximo', 'Menos de 5 min. Viene a 357 mts.', 'Siguiente', 'Entre 05 Y 09 min.  Viene a 2807 mts.', 'Servicio 514', 'Proximo', 'Menos de 5 min. Viene a 1066 mts.', 'Siguiente', 'Entre 03 Y 07 min.  Viene a 1266 mts.', 'Servicio 515N', 'Fuera de horario de operacion para este paradero']
['PA384 (08:38)', 'Inicio', 'Servicio 412', 'No hay buses que se dirijan al paradero.', 'Servicio 418', 'Proximo', 'Entre 03 Y 07 min.  Viene a 2007 mts.', 'Siguiente', 'Entre 12 Y 20 min.  Viene a 5447 mts.', 'Servicio 514', 'Proximo', 'Menos de 5 min. Viene a 986 mts.', 'Siguiente', 'Menos de 5 min. Viene a 1076 mts.', 'Servicio 515N', 'Fuera de horario de operacion para este paradero']
['PA384 (08:40)', 'Inicio', 'Servicio 412', 'No hay buses que se dirijan al paradero.', 'Servicio 418', 'Proximo', 'Menos de 5 min. Viene a 1417 mts.', 'Siguiente', 'Entre 12 Y 20 min.  Viene a 5267 mts.', 'Servicio 514', 'Proximo', 'Menos de 5 min. Viene a 126 mts.', 'Siguiente', 'Menos de 5 min. Viene a 1046 mts.', 'Servicio 515N', 'Fuera de horario de operacion para este paradero']
['PA384 (08:47)', 'Inicio', 'Servicio 412', 'No hay buses que se dirijan al paradero.', 'Servicio 418', 'Proximo', 'Entre 10 Y 16 min.  Viene a 4247 mts.', 'Siguiente', 'Entre 17 Y 27 min.  Viene a 6387 mts.', 'Servicio 514', 'Proximo', 'Menos de 5 min. Viene a 996 mts.', 'Siguiente', 'Menos de 5 min. Viene a 1056 mts.', 'Servicio 515N', 'Fuera de horario de operacion para este paradero']
['PA384 (08:50)', 'Inicio', 'Servicio 412', 'No hay buses que se dirijan al paradero.', 'Servicio 418', 'Proximo', 'Entre 08 Y 14 min.  Viene a 3597 mts.', 'Siguiente', 'Entre 15 Y 23 min.  Viene a 5577 mts.', 'Servicio 514', 'Proximo', 'Menos de 5 min. Viene a 346 mts.', 'Siguiente', 'Menos de 5 min. Viene a 516 mts.', 'Servicio 515N', 'Fuera de horario de operacion para este paradero']
['PA384 (08:53)', 'Inicio', 'Servicio 412', 'No hay buses que se dirijan al paradero.', 'Servicio 418', 'Proximo', 'Entre 07 Y 11 min.  Viene a 3127 mts.', 'Siguiente', 'Entre 14 Y 22 min.  Viene a 5107 mts.', 'Servicio 514', 'Proximo', 'Entre 05 Y 09 min.  Viene a 1336 mts.', 'Siguiente', 'Entre 08 Y 14 min.  Viene a 1676 mts.', 'Servicio 515N', 'Fuera de horario de operacion para este paradero']
['PA384 (08:56)', 'Inicio', 'Servicio 412', 'No hay buses que se dirijan al paradero.', 'Servicio 418', 'Proximo', 'Entre 05 Y 09 min.  Viene a 2477 mts.', 'Siguiente', 'Entre 14 Y 22 min.  Viene a 4877 mts.', 'Servicio 514', 'Proximo', 'Entre 03 Y 07 min.  Viene a 1086 mts.', 'Siguiente', 'Entre 03 Y 07 min.  Viene a 1156 mts.', 'Servicio 515N', 'Fuera de horario de operacion para este paradero']
['PA384 (08:59)', 'Inicio', 'Servicio 412', 'No hay buses que se dirijan al paradero.', 'Servicio 418', 'Proximo', 'Entre 03 Y 07 min.  Viene a 1807 mts.', 'Siguiente', 'Entre 13 Y 21 min.  Viene a 4647 mts.', 'Servicio 514', 'Proximo', 'Menos de 5 min. Viene a 956 mts.', 'Siguiente', 'Menos de 5 min. Viene a 996 mts.', 'Servicio 515N', 'Fuera de horario de operacion para este paradero']
['PA384 (09:03)', 'Inicio', 'Servicio 412', 'No hay buses que se dirijan al paradero.', 'Servicio 418', 'Proximo', 'Menos de 5 min. Viene a 197 mts.', 'Siguiente', 'Entre 09 Y 15 min.  Viene a 3607 mts.', 'Servicio 514', 'Proximo', 'Menos de 5 min. Viene a 56 mts.', 'Siguiente', 'Entre 07 Y 11 min.  Viene a 1626 mts.', 'Servicio 515N', 'Fuera de horario de operacion para este paradero']
['PA384 (09:06)', 'Inicio', 'Servicio 412', 'No hay buses que se dirijan al paradero.', 'Servicio 418', 'Proximo', 'Entre 07 Y 11 min.  Viene a 2977 mts.', 'Siguiente', 'Entre 14 Y 22 min.  Viene a 4527 mts.', 'Servicio 514', 'Proximo', 'Menos de 5 min. Viene a 1116 mts.', 'Siguiente', 'Entre 03 Y 07 min.  Viene a 1176 mts.', 'Servicio 515N', 'Fuera de horario de operacion para este paradero']
['PA384 (09:08)', 'Inicio', 'Servicio 412', 'No hay buses que se dirijan al paradero.', 'Servicio 418', 'Proximo', 'Entre 06 Y 10 min.  Viene a 2777 mts.', 'Siguiente', 'Entre 11 Y 19 min.  Viene a 4167 mts.', 'Servicio 514', 'Proximo', 'Menos de 5 min. Viene a 1036 mts.', 'Siguiente', 'Menos de 5 min. Viene a 1076 mts.', 'Servicio 515N', 'Fuera de horario de operacion para este paradero']
['PA384 (09:11)', 'Inicio', 'Servicio 412', 'No hay buses que se dirijan al paradero.', 'Servicio 418', 'Proximo', 'Entre 03 Y 07 min.  Viene a 1827 mts.', 'Siguiente', 'Entre 09 Y 15 min.  Viene a 3577 mts.', 'Servicio 514', 'Proximo', 'Menos de 5 min. Viene a 76 mts.', 'Siguiente', 'Menos de 5 min. Viene a 706 mts.', 'Servicio 515N', 'Fuera de horario de operacion para este paradero']
['PA384 (09:13)', 'Inicio', 'Servicio 412', 'No hay buses que se dirijan al paradero.', 'Servicio 418', 'Proximo', 'Menos de 5 min. Viene a 1277 mts.', 'Siguiente', 'Entre 07 Y 13 min.  Viene a 3107 mts.', 'Servicio 514', 'Proximo', 'Menos de 5 min. Viene a 76 mts.', 'Siguiente', 'Menos de 5 min. Viene a 86 mts.', 'Servicio 515N', 'Fuera de horario de operacion para este paradero']
['PA384 (09:16)', 'Inicio', 'Servicio 412', 'No hay buses que se dirijan al paradero.', 'Servicio 418', 'Proximo', 'Menos de 5 min. Viene a 187 mts.', 'Siguiente', 'Entre 05 Y 09 min.  Viene a 2467 mts.', 'Servicio 514', 'Proximo', 'Entre 13 Y 21 min.  Viene a 3256 mts.', 'Siguiente', 'Entre 13 Y 21 min.  Viene a 3286 mts.', 'Servicio 515N', 'Fuera de horario de operacion para este paradero']
['PA384 (09:18)', 'Inicio', 'Servicio 412', 'No hay buses que se dirijan al paradero.', 'Servicio 418', 'Proximo', 'Menos de 5 min. Viene a 1817 mts.', 'Siguiente', 'Entre 03 Y 07 min.  Viene a 2077 mts.', 'Servicio 514', 'Proximo', 'Entre 11 Y 19 min.  Viene a 2516 mts.', 'Siguiente', 'Entre 11 Y 19 min.  Viene a 2656 mts.', 'Servicio 515N', 'Fuera de horario de operacion para este paradero']
['PA384 (09:21)', 'Inicio', 'Servicio 412', 'No hay buses que se dirijan al paradero.', 'Servicio 418', 'Proximo', 'Menos de 5 min. Viene a 1227 mts.', 'Siguiente', 'Menos de 5 min. Viene a 1287 mts.', 'Servicio 514', 'Proximo', 'Entre 08 Y 14 min.  Viene a 1866 mts.', 'Siguiente', 'Entre 08 Y 14 min.  Viene a 1916 mts.', 'Servicio 515N', 'Fuera de horario de operacion para este paradero']
['PA384 (09:24)', 'Inicio', 'Servicio 412', 'No hay buses que se dirijan al paradero.', 'Servicio 418', 'Proximo', 'Menos de 5 min. Viene a 57 mts.', 'Siguiente', 'Menos de 5 min. Viene a 177 mts.', 'Servicio 514', 'Proximo', 'Menos de 5 min. Viene a 1006 mts.', 'Siguiente', 'Entre 03 Y 07 min.  Viene a 1206 mts.', 'Servicio 515N', 'Fuera de horario de operacion para este paradero']
