['PA385 (08:26)', 'Inicio', 'Servicio 412', 'No hay buses que se dirijan al paradero.', 'Servicio 418', 'Proximo', 'Entre 07 Y 11 min.  Viene a 3902 mts.', 'Siguiente', 'Entre 10 Y 16 min.  Viene a 5502 mts.', 'Servicio 516', 'Proximo', 'Menos de 5 min. Viene a 42 mts.', 'Siguiente', 'Entre 07 Y 11 min.  Viene a 2772 mts.', 'Servicio 519E', 'Proximo', 'Entre 08 Y 14 min.  Viene a 3545 mts.', 'Siguiente', 'Entre 16 Y 26 min.  Viene a 7075 mts.']
['PA385 (08:29)', 'Inicio', 'Servicio 412', 'No hay buses que se dirijan al paradero.', 'Servicio 418', 'Proximo', 'Entre 05 Y 09 min.  Viene a 3262 mts.', 'Siguiente', 'Entre 10 Y 16 min.  Viene a 5272 mts.', 'Servicio 516', 'Proximo', 'Entre 04 Y 08 min.  Viene a 1932 mts.', 'Siguiente', 'Entre 04 Y 08 min.  Viene a 2032 mts.', 'Servicio 519E', 'Proximo', 'Entre 07 Y 13 min.  Viene a 3185 mts.', 'Siguiente', 'Entre 14 Y 22 min.  Viene a 6245 mts.']
['PA385 (08:32)', 'Inicio', 'Servicio 412', 'No hay buses que se dirijan al paradero.', 'Servicio 418', 'Proximo', 'Menos de 5 min. Viene a 2332 mts.', 'Siguiente', 'Entre 07 Y 13 min.  Viene a 4542 mts.', 'Servicio 516', 'Proximo', 'Menos de 5 min. Viene a 1232 mts.', 'Siguiente', 'Menos de 5 min. Viene a 1252 mts.', 'Servicio 519E', 'Proximo', 'Entre 04 Y 08 min.  Viene a 2165 mts.', 'Siguiente', 'Entre 12 Y 20 min.  Viene a 5725 mts.']
['PA385 (08:35)', 'Inicio', 'Servicio 412', 'No hay buses que se dirijan al paradero.', 'Servicio 418', 'Proximo', 'Menos de 5 min. Viene a 1372 mts.', 'Siguiente', 'Entre 07 Y 11 min.  Viene a 3792 mts.', 'Servicio 516', 'Proximo', 'Menos de 5 min. Viene a 1042 mts.', 'Siguiente', 'Menos de 5 min. Viene a 1202 mts.', 'Servicio 519E', 'Proximo', 'Menos de 5 min. Viene a 1665 mts.', 'Siguiente', 'Entre 11 Y 19 min.  Viene a 5055 mts.']
['PA385 (08:38)', 'Inicio', 'Servicio 412', 'No hay buses que se dirijan al paradero.', 'Servicio 418', 'Proximo', 'Menos de 5 min. Viene a 872 mts.', 'Siguiente', 'Entre 05 Y 09 min.  Viene a 2892 mts.', 'Servicio 516', 'Proximo', 'Menos de 5 min. Viene a 62 mts.', 'Siguiente', 'Menos de 5 min. Viene a 82 mts.', 'Servicio 519E', 'Proximo', 'Menos de 5 min. Viene a 765 mts.', 'Siguiente', 'Entre 10 Y 16 min.  Viene a 3995 mts.']
['PA385 (08:40)', 'Inicio', 'Servicio 412', 'No hay buses que se dirijan al paradero.', 'Servicio 418', 'Proximo', 'Menos de 5 min. Viene a 182 mts.', 'Siguiente', 'Entre 03 Y 07 min.  Viene a 2512 mts.', 'Servicio 516', 'Proximo', 'Entre 07 Y 11 min.  Viene a 2342 mts.', 'Siguiente', 'Entre 13 Y 21 min.  Viene a 3942 mts.', 'Servicio 519E', 'Proximo', 'Menos de 5 min. Viene a 185 mts.', 'Siguiente', 'Entre 08 Y 14 min.  Viene a 3445 mts.']
['PA385 (08:47)', 'Inicio', 'Servicio 412', 'No hay buses que se dirijan al paradero.', 'Servicio 418', 'Proximo', 'Menos de 5 min. Viene a 602 mts.', 'Siguiente', 'Entre 12 Y 20 min.  Viene a 5342 mts.', 'Servicio 516', 'Proximo', 'Menos de 5 min. Viene a 582 mts.', 'Siguiente', 'Entre 06 Y 10 min.  Viene a 2182 mts.', 'Servicio 519E', 'Proximo', 'Menos de 5 min. Viene a 1425 mts.', 'Siguiente', 'Entre 06 Y 10 min.  Viene a 2425 mts.']
['PA385 (08:50)', 'Inicio', 'Servicio 412', 'No hay buses que se dirijan al paradero.', 'Servicio 418', 'Proximo', 'Menos de 5 min. Viene a 102 mts.', 'Siguiente', 'Entre 11 Y 17 min.  Viene a 4692 mts.', 'Servicio 516', 'Proximo', 'Menos de 5 min. Viene a 1242 mts.', 'Siguiente', 'Entre 07 Y 13 min.  Viene a 2712 mts.', 'Servicio 519E', 'Proximo', 'Menos de 5 min. Viene a 575 mts.', 'Siguiente', 'Entre 04 Y 08 min.  Viene a 1865 mts.']
['PA385 (08:53)', 'Inicio', 'Servicio 412', 'No hay buses que se dirijan al paradero.', 'Servicio 418', 'Proximo', 'Entre 10 Y 16 min.  Viene a 4222 mts.', 'Siguiente', 'Entre 16 Y 26 min.  Viene a 6202 mts.', 'Servicio 516', 'Proximo', 'Menos de 5 min. Viene a 582 mts.', 'Siguiente', 'Entre 04 Y 08 min.  Viene a 1932 mts.', 'Servicio 519E', 'Proximo', 'Menos de 5 min. Viene a 85 mts.', 'Siguiente', 'Menos de 5 min. Viene a 1175 mts.']
['PA385 (08:56)', 'Inicio', 'Servicio 412', 'No hay buses que se dirijan al paradero.', 'Servicio 418', 'Proximo', 'Entre 08 Y 14 min.  Viene a 3512 mts.', 'Siguiente', 'Entre 16 Y 26 min.  Viene a 5972 mts.', 'Servicio 516', 'Proximo', 'Menos de 5 min. Viene a 82 mts.', 'Siguiente', 'Menos de 5 min. Viene a 1222 mts.', 'Servicio 519E', 'Proximo', 'Menos de 5 min. Viene a 175 mts.', 'Siguiente', 'Entre 07 Y 11 min.  Viene a 2475 mts.']
